name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,argon,293.0,5.0,14.0,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.30642e-06,chunk_1
c5ce01790d_c5ce01790d1_clean,argon,293.0,5.0,14.0,c5ce01790d_c5ce01790d1_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.42455e-06,chunk_1
BUCSEY_clean,argon,293.0,5.0,14.0,BUCSEY_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.26201e-06,chunk_1
VUWROW_clean,argon,293.0,5.0,14.0,VUWROW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.45975e-06,chunk_1
AKEDIF_clean,argon,293.0,5.0,14.0,AKEDIF_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.68708e-06,chunk_1
OLODEA_clean,argon,293.0,5.0,14.0,OLODEA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.77725e-06,chunk_1
acs.inorgchem.6b00081_ic6b00081_si_001_clean,argon,293.0,5.0,14.0,acs.inorgchem.6b00081_ic6b00081_si_001_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.53845e-06,chunk_1
jacs.6b08724_ja6b08724_si_013_clean,argon,293.0,5.0,14.0,jacs.6b08724_ja6b08724_si_013_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.46953e-06,chunk_1
c6cc02494g_c6cc02494g5_clean,argon,293.0,5.0,14.0,c6cc02494g_c6cc02494g5_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.25964e-06,chunk_1
acs.inorgchem.6b01569_ic6b01569_si_002_clean,argon,293.0,5.0,14.0,acs.inorgchem.6b01569_ic6b01569_si_002_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.15567e-06,chunk_1
BUXNOZ_clean,argon,293.0,5.0,14.0,BUXNOZ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.74597e-06,chunk_1
PUBROU_clean,argon,293.0,5.0,14.0,PUBROU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.04923e-05,chunk_1
IBAQAF_clean,argon,293.0,5.0,14.0,IBAQAF_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.51863e-06,chunk_1
CIGDUT_clean,argon,293.0,5.0,14.0,CIGDUT_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.95256e-06,chunk_1
BAXFIR01_clean,argon,293.0,5.0,14.0,BAXFIR01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.22275e-06,chunk_1
WISKOA_clean,argon,293.0,5.0,14.0,WISKOA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.38e-06,chunk_1
ATUZEW_clean,argon,293.0,5.0,14.0,ATUZEW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.50836e-06,chunk_1
cm501138g_si_011_clean,argon,293.0,5.0,14.0,cm501138g_si_011_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.82781e-06,chunk_1
VABKAN_clean,argon,293.0,5.0,14.0,VABKAN_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.54049e-06,chunk_1
AVEHAM_clean,argon,293.0,5.0,14.0,AVEHAM_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.44461e-06,chunk_1
AMUXAI_clean,argon,293.0,5.0,14.0,AMUXAI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.38366e-06,chunk_1
FUWFUA_clean,argon,293.0,5.0,14.0,FUWFUA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.72506e-06,chunk_1
AXIMUP_clean,argon,293.0,5.0,14.0,AXIMUP_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.13808e-06,chunk_1
